,osmid,y,x,highway,street_count,row,column,land_price,pop,private_cs,I1_max,upper_bound
437,7144483000,20.9982301,105.8400858,,4,None,None,159.142833,60.967,0.0,30,0.0018850990292475188
438,7199335714,20.9981316,105.8404683,,3,None,None,84.6375,60.967,0.0,29,0.003426377196869
439,5689263058,20.9976784,105.8411312,,4,None,None,159.142833,17.37,0.0,24,0.001508079223398015
440,5689263057,20.9979543,105.8411369,,4,None,None,159.142833,17.37,0.0,24,0.001508079223398015
441,6688326497,20.998282,105.8411437,,3,None,None,84.6375,17.37,0.0,25,0.002953773445576724
442,7199335713,20.99853,105.8411489,,3,None,None,84.6375,45.939,0.0,25,0.002953773445576724
443,5689263071,20.9991422,105.8411762,,3,None,None,84.6375,45.939,0.0,28,0.0033082262590459315
444,8194657994,20.9983731,105.8414363,,3,None,None,84.6375,45.939,0.0,24,0.002835622507753655
445,6688326491,20.9982681,105.8414352,,3,None,None,84.6375,17.37,0.0,24,0.002835622507753655
446,5689263056,20.9976032,105.8414266,,4,None,None,159.142833,17.37,0.0,24,0.001508079223398015
447,8432307741,20.9978798,105.8414328,,4,None,None,159.142833,17.37,0.0,24,0.001508079223398015
448,12985622979,20.9977437,105.8408574,,3,None,None,84.6375,17.37,0.0,25,0.002953773445576724
449,12985622980,20.998028,105.8408719,,3,None,None,84.6375,17.37,0.0,25,0.002953773445576724
450,5716457475,21.0080979,105.8376484,,1,None,None,57.243333,233.667,0.0,59,0.010306877134495296
451,5716457476,21.0086548,105.838343,,4,None,None,159.142833,63.55,0.0,52,0.003267504984029033
452,5662903998,21.0063215,105.8413094,,3,None,None,84.6375,91.606,0.0,23,0.002717471569930586
453,1495022752,21.007045,105.8413254,,3,None,None,84.6375,52.403,0.0,25,0.002953773445576724
454,1755146759,21.0075596,105.8413008,,4,None,None,159.142833,15.816,0.0,25,0.0015709158577062658
455,1495022756,21.0076693,105.8407052,,3,None,None,84.6375,51.385,0.0,27,0.0031900753212228622
456,1497961283,21.0078235,105.8402267,,3,None,None,84.6375,51.385,0.0,36,0.004253433761630483
457,9439560319,21.0067038,105.8387773,,1,None,None,57.243333,203.53,0.0,40,0.006987713311522235
458,11083505897,21.0060986,105.8397447,,1,None,None,57.243333,372.485,0.0,30,0.005240784983641676
459,1497969787,21.0030394,105.8412283,,3,None,None,84.6375,70.198,0.0,14,0.0016541131295229657
460,436170722,21.0041897,105.8412431,,4,None,None,159.142833,173.076,0.0,19,0.001193896051856762
461,5684250224,21.0042016,105.8392963,,3,None,None,84.6375,323.466,0.0,24,0.002835622507753655
462,4551916019,21.0042129,105.840113,,3,None,None,84.6375,265.968,0.0,19,0.0022448678186383106
463,6666357218,20.9997724,105.8414516,,3,None,None,84.6375,56.887,0.0,26,0.0030719243833997934
464,4707733245,21.0024163,105.8332182,,3,None,None,84.6375,218.168,0.0,32,0.003780830010338207
465,8194657995,20.9977746,105.8418739,,3,None,None,84.6375,160.008,0.0,23,0.002717471569930586
466,8194657997,20.997404,105.8422114,,3,None,None,84.6375,327.472,0.0,21,0.002481169694284448
467,5689302946,20.9976456,105.842407,,3,None,None,84.6375,160.008,0.0,21,0.002481169694284448
468,8432307748,20.9973099,105.8425802,,4,None,None,159.142833,198.771,0.0,20,0.0012567326861650126
469,1753897155,21.01633,105.8266047,,3,None,None,39.251375,163.783,0.0,89,0.022674364910783378
470,320236991,21.0170785,105.8270342,,3,None,None,39.251375,387.056,0.0,103,0.026241118941693124
471,1495020912,21.0092908,105.8244986,,4,None,None,66.380375,25.454,0.0,46,0.006929758983735781
472,6405794494,21.0096805,105.824699,,3,None,None,39.251375,25.454,0.0,49,0.012483639108184107
473,1314209691,21.0091472,105.8248463,,3,None,None,39.251375,4.46,0.0,44,0.0112097983828592
474,5710091927,21.0144222,105.8253872,,1,None,None,27.404125,412.144,0.0,64,0.023354148326210016
475,5954441639,21.0112777,105.8254518,,3,None,None,39.251375,125.809,0.0,64,0.016305161284158834
476,5954441640,21.0112402,105.825529,,3,None,None,39.251375,125.809,0.0,64,0.016305161284158834
477,6659134172,21.0104207,105.8250477,,3,None,None,39.251375,109.946,0.0,54,0.013757479833509017
478,6688503842,21.0095161,105.8246137,,3,None,None,39.251375,25.454,0.0,47,0.011974102818054142
479,318259522,21.014417,105.8236237,,3,None,None,39.251375,204.398,0.0,62,0.01579562499402887
480,5707655797,21.0141081,105.8232433,,3,None,None,39.251375,199.585,0.0,58,0.014776552413768943
481,320236984,21.015934,105.8263639,,3,None,None,39.251375,163.783,0.0,84,0.02140052418545847
482,1314209723,21.0134918,105.8268687,,3,None,None,39.251375,97.741,0.0,62,0.01579562499402887
483,5485651217,21.0134586,105.8269306,,4,None,None,66.380375,97.741,0.0,60,0.009038816065742321
484,5707679597,21.0133393,105.827148,,3,None,None,39.251375,97.741,0.0,59,0.015031320558833924
485,6405794495,21.0142179,105.8273924,,3,None,None,39.251375,324.544,0.0,66,0.016814697574288797
486,1497544669,21.0150609,105.8278134,,4,None,None,66.380375,154.169,0.0,79,0.011901107819894058
487,318258663,21.0150273,105.8278801,,4,None,None,66.380375,154.169,0.0,77,0.01159981395103598
488,5707716106,21.0144022,105.8283055,,1,None,None,27.404125,409.221,0.0,71,0.025908508299389232
489,2291065547,21.0143497,105.8284058,,3,None,None,39.251375,148.685,0.0,71,0.018088538299613707
490,2291065548,21.0146561,105.8285669,,3,None,None,39.251375,148.685,0.0,74,0.018852842734808653
491,5707717530,21.0141381,105.8287986,,3,None,None,39.251375,197.539,0.0,66,0.016814697574288797
492,5707717532,21.0144432,105.8289942,,3,None,None,39.251375,148.685,0.0,64,0.016305161284158834
493,1495023340,21.0070673,105.8295224,,3,None,None,39.251375,67.92,0.0,44,0.0112097983828592
494,2291055778,21.0077298,105.8280274,traffic_signals,3,None,None,39.251375,45.222,0.0,63,0.01605039313909385
