node_id,matrix_idx,lat,lng,street_count
2175126954,322,21.0171092,105.8240572,3
2176926218,323,21.0139023,105.8187277,4
2195295122,324,21.0300109,105.8015154,4
2275188545,325,21.0273746,105.8402245,3
2275188549,326,21.0277376,105.8389716,3
2276603928,327,21.0119062,105.8362072,3
2276603945,328,21.0118796,105.8369838,1
2290010720,329,21.0285731,105.8260244,3
2291014172,330,21.0066213,105.8229571,3
2291014178,331,21.0124305,105.8176724,3
2291014992,332,21.0151996,105.8252025,1
2291014993,333,21.0148653,105.8246077,4
2291014994,334,21.014678,105.8239332,3
2291046229,335,21.0187853,105.8231097,3
2291046237,336,21.0199662,105.8234044,3
2291046239,337,21.0192462,105.8233177,4
2291046243,338,21.0183481,105.8243228,3
2291049679,339,21.0098276,105.8303068,3
2291055778,340,21.0077298,105.8280274,3
2291064324,341,21.0177227,105.8300672,3
2291064326,342,21.0143481,105.8341558,4
2291064328,343,21.0177471,105.8295223,3
2291065547,344,21.0143497,105.8284058,3
2291065548,345,21.0146561,105.8285669,3
2294884824,346,21.0037912,105.8375076,3
2303337172,347,21.0297974,105.8017885,4
2303337176,348,21.0275852,105.799663,3
2371534393,349,21.0304375,105.8360782,4
2452431996,350,21.0119342,105.8172506,4
2592290239,351,21.0259305,105.8333798,3
4004297090,352,21.0030929,105.8199683,4
4025085951,353,21.0033236,105.8243928,3
4025115175,354,21.0088638,105.8143743,4
4027449781,355,21.0277085,105.7995348,3
4541071715,356,21.0192473,105.8022092,3
4541071716,357,21.0193091,105.8023428,3
4551916019,358,21.0042129,105.840113,3
4551916020,359,21.0053382,105.8401652,1
4599745013,360,20.9991174,105.8364845,3
4599745018,361,21.0008036,105.829059,4
4608169674,362,20.999195,105.8360086,3
4707733243,363,21.0026681,105.8329806,3
4707733245,364,21.0024163,105.8332182,3
4802622931,365,21.0318687,105.8287378,1
4802622932,366,21.0315576,105.8298109,3
4802622936,367,21.031505,105.8289611,3
4802622938,368,21.0318176,105.8289321,3
4802622940,369,21.0317249,105.829258,3
4961341856,370,21.0184915,105.8296676,4
4961341859,371,21.0208473,105.8258022,4
4961341860,372,21.0209128,105.8256348,3
4961341864,373,21.0206049,105.8256706,4
4961341865,374,21.0206785,105.825509,3
4988273681,375,21.0200118,105.8253623,3
4988273687,376,21.018124,105.8283758,4
4988273690,377,21.0175367,105.8292934,3
5285531239,378,20.9988484,105.8377772,3
5406185435,379,21.0213059,105.834126,3
5406185437,380,21.0216565,105.8329958,3
5485630144,381,21.023295,105.8027521,3
5485640496,382,21.0070219,105.8320781,3
5485640503,383,21.007164,105.8322742,3
5485651217,384,21.0134586,105.8269306,4
5485653490,385,21.0268084,105.8276909,3
5485653882,386,21.0233154,105.8067962,3
5485654770,387,21.0229837,105.8099079,3
5485733665,388,21.0291363,105.8343437,4
5485733678,389,21.0280189,105.8336896,3
5489008212,390,21.0267721,105.8278356,3
5489009621,391,21.0263735,105.8277197,4
5489009622,392,21.0261865,105.8276471,3
5662903998,393,21.0063215,105.8413094,3
5674347102,394,21.0060273,105.8310576,3
5680518554,395,21.0217184,105.8031656,1
5683715143,396,21.0027599,105.821931,4
5683715152,397,21.0056371,105.8226959,3
5683715157,398,21.0050117,105.822161,3
5683792674,399,21.0061057,105.8313438,3
5683792676,400,21.0062201,105.8312827,4
5683792697,401,21.0045071,105.8274316,3
5684250224,402,21.0042016,105.8392963,3
5686426690,403,21.0019292,105.8295337,3
5686449764,404,20.9992445,105.8354992,3
5686449765,405,20.999963,105.8352116,1
5686449768,406,21.0009086,105.8347146,1
5686449774,407,20.9993929,105.8343962,3
5686449795,408,21.000258,105.8376052,3
5686449796,409,21.0002775,105.8366105,3
5686449798,410,21.0005091,105.8365934,3
5686449799,411,21.0006823,105.8365999,1
5686449803,412,21.0011493,105.8345641,3
5686449807,413,21.0020869,105.8333233,1
5686449812,414,21.0011318,105.8329957,1
5689263057,415,20.9979543,105.8411369,4
5689263071,416,20.9991422,105.8411762,3
5689302946,417,20.9976456,105.842407,3
5703530256,418,21.0261137,105.8296992,1
5703585010,419,21.0268477,105.8338027,3
5703585013,420,21.0259824,105.8342146,3
5704011527,421,21.0250743,105.8398527,3
5706871732,422,21.0195542,105.8212549,3
5706871736,423,21.0186339,105.8225503,3
5706891499,424,21.0201732,105.8307261,3
5706896622,425,21.0202038,105.8306589,3
5707161122,426,21.0191655,105.8268661,3
5707161151,427,21.0191753,105.830871,3
5707161153,428,21.0189405,105.8301839,5
5707161154,429,21.0188568,105.8292097,4
5707161159,430,21.0192337,105.8295311,3
5707161162,431,21.0185201,105.8292353,3
5707161163,432,21.0188688,105.8298836,5
5707161170,433,21.0181761,105.8246193,3
5707263059,434,21.0180745,105.8368257,3
5707407583,435,21.0087548,105.8142818,3
5707407590,436,21.0086391,105.8144074,3
5707407591,437,21.0087249,105.8144908,4
5707407594,438,21.0090666,105.8138233,3
5707655797,439,21.0141081,105.8232433,3
5707679597,440,21.0133393,105.827148,3
5707679615,441,21.0143762,105.8243082,3
5707716106,442,21.0144022,105.8283055,1
5707717530,443,21.0141381,105.8287986,3
5707717532,444,21.0144432,105.8289942,3
5709906176,445,21.0140529,105.8391,3
5709906182,446,21.0107817,105.8372067,3
